MAIN_ID,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,7000,13000,36000
 ab aur,04 55 45,+30 33 04,A0Ve,7.1999998,0.531189891,7.1599998,0.45146338,7.0500002,0.340998936,6.96,0.255509062,6.6999998,0.163295265,5.936,0.096056038,5.062,0.059938968,4.23,000,0.036693407,3.289,0.017994498,1.669,0.011120528,18.879999,3,0.542,0.009295343,26.030001,3,-1.723,0h0h ,0.006066169,52.7,118,138,1.97,0.326333,0.3087,0.0515,,0.014,,,
 ak sco,16 54 44,-36 53 18,F5Ve,9.8000002,1.01409351,9.6300001,0.861887794,9,0.651000355,9.1999998,0.487791815,,0.311746649,7.676,0.183380382,7.059,0.114429358,6.503,000,0.070051306,5.482,0.034353258,5.064,0.021230176,2.032,3,3.013,0.01774572,2.87,3,0.899,hh00 ,0.011580911,,,,,,,,,,,,
AS 310,18 33 21,-04 58 04,B1e,13.51,6.422588732,13.52,5.458619718,12.45,4.123,11.28,3.089346479,10.62,1.974394366,8.04,1.161408451,7.27,0.724718873,6.39,000,0.443658028,7.099,0.217570516,6.332,0.134457708,      null|, null,0.223,0.112389496,      null|,null,  null ,HHHH ,0.073345731,,,,,,,,,,,,
 V2018 Cyg,20 46 45,+43 45 11,B9e,,3.476894009,12.27,2.955045541,11.61,2.232002483,,1.67243003,,1.06884626,10.603,0.628733094,10.236,0.392329451,9.815,000,0.240176042,9.118,0.117782666,8.033,0.072789216,2.068,3,2.25,0.060842501,7.517,3,-0.255,000h ,0.039706004,,,,,,,,,,,,
 V1977 Cyg,20 47 37,+43 47 24,B8Ve,11.9,3.621764432,11.56,3.078172302,10.9,2.325002483,10.18,1.742114537,9.9499998,1.113381471,8.653,0.654930277,7.701,0.408676493,6.623,000,0.250183366,5.335,0.122690272,4.32,0.075822097,2.557,3,2.974,0.063377603,2.298,3,1.357,hhhH ,0.041360419,,,,,,,,,,,,
 HD 245185,05 35 09,+10 01 51,A0Vae,9.98,0.386321127,9.97,0.328338028,9.89,0.248,9.71,0.185825352,9.68,0.118760563,9.291,0.069859155,8.764,0.043592113,8.02,000,0.026686197,6.893,0.013086948,6.129,0.008087682,2.392,3,2.469,0.00676027,4.476,3,0.513,0000,0.004411773,6.8,5.5,4.6,,,,,0.0065,,,,
 bd +41 3731,20 24 15,+42 18 01,B5,,0.719523099,9.94,0.611529577,9.931,0.4619,9.93,0.346099718,,0.221191549,9.629,0.130112676,9.624,0.08119031,9.632,000,0.049703042,9.509,0.024374441,9.426,0.015063307,      null|, null,8.042,0.012591004,      null|,null,5.36,HHdh ,0.008216928,,,,,,,,,,,,
 bd +65 1637,21 42 50,+66 06 35,B4,10.23,2.800828169,10.6,2.380450704,10.18,1.798,9.66,1.347233803,9.39,0.861014085,8.973,0.506478873,8.729,0.316042817,8.474,000,0.19347493,7.901,0.094880376,7.509,0.058635692, ,0,6.174,0.049011961,7.893,3,0.339,hddd ,0.031985356,,,,,,,0.02,,,,,
 bf ori,05 37 13,-06 35 00,A2,11.08,1.255543662,10.73,1.067098592,10.41,0.806,10.09,0.603932394,9.75,0.385971831,9.113,0.227042254,8.565,0.141674366,7.897,000,0.086730141,6.88,0.042532582,6.101,0.026284965,      null|, null,3.591,0.021970879,      null|,null,2.196,0000,0.014338263,0.8,1.7,,,,,0.07,,,,,
 bh cep,22 01 42,+69 44 36,F5IIIe,12,1.014092958,11.79,0.861887324,11.16,0.651,10.63,0.487791549,9.98,0.311746479,9.686,0.183380282,8.993,0.114429296,8.31,000,0.070051268,7.32,0.034353239,6.846,0.021230164,0.4807,3,4.684,0.01774571,0.7669,3,2.225,0000,0.011580905,,,,,,,,,,,,
