MAIN_ID,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,7000,13000,36000,,,,,,,,
 ab aur,04 55 45,+30 33 04,A0Ve,7.1999998,0.5311898913850,7.1599998,0.451463379658,7.0500002,0.3409989356990,6.96,0.2555090616790,6.6999998,0.1632952649830,5.936,0.0960560382252,5.062,0.05993896785250,4.230,000,0.03669340660200,3.289,0.01799449782750,1.669,0.01112052761540,18.879999,3,0.542,0.00929534281905,26.030001,3,-1.723,0h0h ,0.006066169348410,52.7,118,138,1.97,0.326333,0.3087,0.0515,,0.014,,,,,,,,,,,
 ak sco,16 54 44,-36 53 18,F5Ve,9.8000002,1.0140935103800,9.6300001,0.861887793635,9,0.6510003547670,9.1999998,0.4877918151210,,0.3117466487620,7.676,0.1833803816240,7.059,0.11442935813400,6.503,000,0.07005130578050,5.482,0.03435325815760,5.064,0.02123017600610,2.032000,3,3.013,0.01774571952980,2.870000,3,0.899,hh00 ,0.011580911212500,,,,,,,,,,,,,,,,,,,,
AS 310,18 33 21,-04 58 04,B1e,13.51,6.4225887323900,13.52,5.458619718310,12.45,4.1230000000000,11.28,3.0893464788700,10.62,1.9743943662000,8.040,1.1614084507000,7.270,0.72471887323900,6.390,000,0.44365802816900,7.099,0.21757051643200,6.332,0.13445770809900,      null|, null,0.223,0.11238949577500,      null|,null,  null ,HHHH ,0.07334573104230,,,,,,,,,,,,,,,,,,,,
 V2018 Cyg,20 46 45,+43 45 11,B9e,,3.4768940093000,12.27,2.955045541360,11.61,2.2320024833700,,1.6724300297900,,1.0688462596400,10.603,0.6287330939060,10.236,0.39232945059800,9.815,000,0.24017604187200,9.118,0.11778266625800,8.033,0.07278921619790,2.068000,3,2.25,0.06084250149730,7.517000,3,-0.255,000h ,0.039706003839600,,,,,,,,,,,,,,,,,,,,
 V1977 Cyg,20 47 37,+43 47 24,B8Ve,11.9,3.6217644318400,11.56,3.078172301920,10.9,2.3250024833700,10.18,1.7421145368300,9.9499998,1.1133814709100,8.653,0.6549302770050,7.701,0.40867649285100,6.623,000,0.25018336581600,5.335,0.12269027189200,4.32,0.07582209683170,2.557000,3,2.974,0.06337760290580,2.298000,3,1.357,hhhH ,0.041360418825500,,,,,,,,,,,,,,,,,,,,
 HD 245185,05 35 09,+10 01 51,A0Vae,9.98,0.3863211267610,9.97,0.328338028169,9.89,0.2480000000000,9.71,0.1858253521130,9.68,0.1187605633800,9.291,0.0698591549296,8.764,0.04359211267610,8.020,000,0.02668619718310,6.893,0.01308694835680,6.129,0.00808768169014,2.392000,3,2.469,0.00676027042254,4.476000,3,0.513,0000,0.004411773295770,6.8,5.5,4.6,,,,,0.0065,,,,,,,,,,,,
 bd +41 3731,20 24 15,+42 18 01,B3n,,0.9609738028170,9.94,0.816740845070,9.931,0.6169000000000,9.93,0.4622405633800,,0.2954169014080,9.629,0.1737746478870,9.624,0.10843538028200,9.632,000,0.06638191549300,9.509,0.03255378403750,9.426,0.02011810820420,      null|, null,8.042,0.01681617267610,      null|,null,5.36,HHdh ,0.010974286073200,,,,,,,,,,,,,,,,,,,,
 bd +65 1637,21 42 50,+66 06 35,B4,10.23,2.8008281690100,10.6,2.380450704230,10.18,1.7980000000000,9.66,1.3472338028200,9.39,0.8610140845070,8.973,0.5064788732390,8.729,0.31604281690100,8.474,000,0.19347492957700,7.901,0.09488037558670,7.509,0.05863569225350, ,0,6.174,0.04901196056340,7.893000,3,0.339,hddd ,0.031985356394400,,,,,,,0.02,,,,,,,,,,,,,
 bf ori,05 37 13,-06 35 00,A7III,11.08,0.6277718309860,10.73,0.533549295775,10.41,0.4030000000000,10.09,0.3019661971830,9.75,0.1929859154930,9.113,0.1135211267610,8.565,0.07083718309860,7.897,000,0.04336507042250,6.880,0.02126629107980,6.101,0.01314248274650,      null|, null,3.591,0.01098543943660,      null|,null,2.196,0000,0.007169131605630,0.8,1.7,,,,,0.07,,,,,,,,,,,,,
 bh cep,22 01 42,+69 44 36,F5IIIe,12,1.0140929577500,11.79,0.861887323944,11.16,0.6510000000000,10.63,0.4877915492960,9.98,0.3117464788730,9.686,0.1833802816900,8.993,0.11442929577500,8.310,000,0.07005126760560,7.320,0.03435323943660,6.846,0.02123016443660,0.480700,3,4.684,0.01774570985920,0.766900,3,2.225,0000,0.011580904901400,,,,,,,,,,,,,,,,,,,,
 HD 245465,05 36 29,+06 50 02,F4e,10.26,0.3863211267610,10.14,0.328338028169,9.67,0.2480000000000,9.21,0.1858253521130,9.18,0.1187605633800,8.604,0.0698591549296,8.371,0.04359211267610,8.231,000,0.02668619718310,8.180,0.01308694835680,8.185,0.00808768169014,      null|, null,8.129,0.00676027042254,      null|,null,8.131,0000,0.004411773295770,,,,,,,,,,,,,,,,,,,,
 bo cep,22 16 54,+70 03 45,F5Ve,12.13,0.6760619718310,12.16,0.574591549296,11.6,0.4340000000000,11.06,0.3251943661970,10.58,0.2078309859150,10.319,0.1222535211270,9.849,0.07628619718310,9.581,000,0.04670084507040,8.853,0.02290215962440,8.501,0.01415344295770,0.084110,3,7.006,0.01183047323940,0.117800,3,3.855,hh0d ,0.007720603267610,,,,,,,,,,,,,,,,,,,,
 cq tau,05 35 58,+24 44 54,F3,11.48,1.8833154929600,11.03,1.600647887320,10.27,1.2090000000000,9.53,0.9058985915490,9.53,0.5789577464790,7.926,0.3405633802820,7.060,0.21251154929600,6.173,000,0.13009521126800,5.328,0.06379887323930,4.428,0.03942744823940,4.855000,3,1.775,0.03295631830990,12.880000,3,-0.795,0000,0.021507394816900,,,,,,,0.018,,,,,,,,,,,,,
 cq uma,13 40 21,+57 12 27,A2IVpSrCr,,0.2269636619720,6.383,0.192898591549,6.276,0.1457000000000,6.22,0.1091723943660,,0.0697718309859,6.152,0.0410422535211,6.211,0.02561036619720,6.197,000,0.01567814084510,6.203,0.00768858215961,6.12,0.00475151299296,0.193300,3,6.246,0.00397165887324, ,0,6.056,0000,0.002591916811270,,,,,,,,,,,,,,,,,,,,
 hd 53367,07 04 25,-10 27 15,B0IV/Ve,6.8099999,3.5734706988500,7.4000001,3.037126995410,6.96,2.2940001773800,,1.7188846399500,,1.0985352962100,6.332,0.6461972330660,6.220,0.40322707343300,6.117,000,0.24684734303100,5.104,0.12105428166100,4.647,0.07481106141860,1.065000,3,4.167,0.06253250624380, ,0,1.019,hhhd ,0.040808906141500,23,57.3,,,,,0.1,,,,,,,,,,,,,
 hd 150193,16 40 17,-23 53 45,A0Ve,9.6899996,2.5593761753000,9.3199997,2.175238340670,8.79,1.6429991722100,8.4099998,1.2310923374900,,0.7867883359880,6.947,0.4628166682280,6.214,0.28879760097400,5.476,000,0.17679596726300,4.441,0.08670098918130,3.552,0.05358086420160,13.000000,3,1.03,0.04478676898450, ,0,-0.567,HHHH ,0.029227983358600,16,8.9,,0.17,0.0705,,0.02,0.0137,,,,,,,,,,,,
 hd 163296,17 56 21,-21 57 21,A1Vep,7,0.2414503358010,6.9299998,0.205210954478,6.8499999,0.1549997634890,6.8600001,0.1161406678540,6.6700001,0.0742252388538,6.195,0.0436619052081,5.531,0.02724502884990,4.779,000,0.01667884778950,3.737,0.00817933024230,2.918,0.00505479334332,15.020001,3,0.638,0.00422516256699, ,0,-0.764,hhhh ,0.002757354102460,24.2,30,32.4,5.72,1.45667,,0.6005,,,,,,,,,,,,,
 hd 200775,21 01 36,+68 09 47,B3,7.39,2.8491183098600,7.77,2.421492957750,7.37,1.8290000000000,6.84,1.3704619718300,6.35,0.8758591549300,6.111,0.5152112676060,5.465,0.32149183098600,4.651,000,0.19681070422500,3.350,0.09651624413130,1.235,0.05964665246480,11.310000,3,1.03,0.04985699436620, ,0,-2.016,HHHH ,0.032536828056300,89.2,652,,,,,0.02,,,,,,,,,,,,,
 hd 250550,06 01 59,+16 30 56,B9e,9.34,0.6277718309860,9.61,0.533549295775,9.54,0.4030000000000,9.32,0.3019661971830,9.24,0.1929859154930,8.475,0.1135211267610,7.528,0.07083718309860,6.635,000,0.04336507042250,5.649,0.02126629107980,4.809,0.01314248274650,2.973000,3,2.374,0.01098543943660,6.514000,3,0.051,0000,0.007169131605630,11.3,7.9,11.7,,,,0.04,,,,,,,,,,,,,
 hd 259431,06 33 05,+10 19 19,B6ep,8.3900003,1.7384428598800,8.9499998,1.477519248000,8.7200003,1.1159985809300,8.8999996,0.8362130212060,,0.5344218556580,7.454,0.3143657974460,6.666,0.19616425760600,5.726,000,0.12008773462400,4.456,0.05889119272140,3.13,0.03639452132750,11.490000,3,1.444,0.03042117821880,11.800000,3,-0.499,hdhh ,0.019852954586600,23.5,114,176,,,,,,,,,,,,,,,,,
 hk ori,05 31 28,+12 09 10,A2?e+G0?e,12.27,2.2213464788700,12.23,1.887943661970,11.71,1.4260000000000,11.01,1.0684957746500,10.72,0.6828732394370,9.408,0.4016901408450,8.311,0.25065464788700,7.341,000,0.15344563380300,6.163,0.07524995305150,5.033,0.04650416971830,2.708000,3,2.529,0.03887155492960,2.882000,3,0.897,HHHH ,0.025367696450700,4.7,,,,,,0.1,,,,,,,,,,,,,
 AS 220,17 10 08,-27 15 18,A5,12.58,2.5110873239400,12.11,2.134197183100,11.45,1.6120000000000,10.61,1.2078647887300,9.88,0.7719436619720,9.072,0.4540845070420,7.233,0.28334873239400,5.795,000,0.17346028169000,4.441,0.08506516431910,3.504,0.05256993098590,9.100000,3,1.379,0.04394175774650,8.276000,3,-0.01,0h0h ,0.028676526422500,11.1,6.7,,,0.091,,0.05,,,,,,,,,,,,,
 lkh 112,18 04 22,-24 22 09,B2Ve,9.4099998,1.8688275664900,10.183,1.588334459760,10.016,1.1996994323700,,0.8989297155250,9.6239996,0.5745039535310,9.085,0.3379435020770,8.862,0.21087674529600,8.562,000,0.12909441779300,7.513,0.06330808272230,6.995,0.03912414166480,      null|, null,4.593,0.03270279269600,      null|,null,0.773,dddd ,0.021341943220600,,,,,,,,,,,,,,,,,,,,
 lkh 115,18 04 50,-24 25 41,B7e,,2.6124954407600,12.38,2.220384913480,11.949,1.6770992431600,,1.2566433765700,11.198,0.8031179474310,10.453,0.4724223220180,10.162,0.29479152893900,9.728,0c0,0.18046532701100,9.162,0.08850044832460,8.533,0.05469292274790,      null|, null,4.683,0.04571630810170,      null|,null,1.16,dDdd ,0.029834603449000,,,,,,,,,,,,,,,,,,,,
 lkh 118,18 05 49,-24 15 20,B1,11.85,5.4567859154900,12.07,4.637774647890,11.2,3.5030000000000,10.18,2.6247830985900,9.47,1.6774929577500,8.721,0.9867605633800,8.248,0.61573859154900,7.900,000,0.37694253521100,7.349,0.18485314554000,7.09,0.11423850387300,      null|, null,6.607,0.09548881971830,      null|,null,5.475,hhh0 ,0.062316297802800,,,,,,,,,,,,,,,,,,,,
 lkh 119,18 05 56,-24 16 00,B1Ve,,12.4347092413000,13,10.568378559500,10.685,7.9824986991900,17.299999,5.9812525464300,,3.8226050108800,9.859,2.2485911828700,9.454,1.40312089811000,9.214,000,0.85896183185600,8.665,0.42123608159000,8.384,0.26032221198000,      null|, null,7.74,0.21759616876600,      null|,null,7.993,hhhd ,0.142003929817000,,,,,,,,,,,,,,,,,,,,
 lkh 131,20 46 36,+43 44 35,Be,,5.6982364355100,14.5,4.842985758930,13.46,3.6579998817400,13.9,2.7409238550500,,1.7517182532300,11.153,1.0304225019000,10.738,0.64298364118500,10.382,000,0.39362139572600,10.480,0.19303248202200,10.214,0.11929330107300,      null|, null,8.896,0.09971398550880,      null|,null,7.049,0ddH ,0.065073654009000,,,,,,,,,,,,,,,,,,,,
 lkh 132,20 46 41,+43 46 48,B4,,4.9738845979400,16,4.227352112680,15.13,3.1930000000000,15.3,2.3925014084500,,1.5290422535200,12.600,0.8994366197180,12.202,0.56124845070400,11.945,000,0.34358478873200,11.723,0.16849446009400,11.588,0.10412890176100,      null|, null,11.278,0.08703848169010,      null|,null,8.736,00DH ,0.056801581183100,,,,,,,,,,,,,,,,,,,,
 lkh 134,20 48 04,+43 47 25,B8/A0e,,2.1247680393100,11.77,1.805860720570,11.42,1.3640011825600,,1.0220403227000,,0.6531836648860,9.457,0.3842256852270,8.867,0.23975682758200,8.240,0s0 ,0.14677421175700,7.169,0.07197827836570,6.554,0.04448228786080,3.444000,3,  null ,0.03718151955940,10.640000,3,-0.619,hhhh ,0.024264774163700,,,,,,,,,,,,,,,,,,,,
 lkh 135,20 48 20,+43 39 48,B7e,,2.9456985915500,11.6,2.503577464790,11.1,1.8910000000000,,1.4169183098600,,0.9055492957750,8.717,0.5326760563380,7.745,0.33238985915500,6.782,000,0.20348225352100,5.395,0.09978798122050,4.401,0.06166857288730,3.353000,3,2.499,0.05154706197180,3.465000,3,0.821,0hoo ,0.033639771380300,,,,,,,,,,,,,,,,,,,,
 lkh 147,20 51 02,+43 49 31,B2e,,8.3831720612600,15.869,7.124938279920,14.353,5.3816023178100,15.8,4.0324118775700,12.147,2.5771053352900,10.565,1.5159443148800,9.997,0.94594925248300,9.483,000,0.57909072828300,8.959,0.28398690165300,8.567,0.17550276826400,      null|, null,7.625,0.14669793135100,      null|,null,6.382,0000,0.095735521750800,,,,,,,,,,,,,,,,,,,,
 lkh 167,20 52 04,+44 37 30,A1/9e,17,9.1751267605600,17.27,7.798028169010,15.34,5.8900000000000,13.49,4.4133521126800,,2.8205633802800,10.234,1.6591549295800,9.059,1.03531267606000,8.120,000,0.63379718309900,6.482,0.31081502347400,5.646,0.19208244014100,1.578000,3,3.329,0.16055642253500,1.401000,3,1.84,0h00 ,0.104779615775000,,,,,,,,,,,,,,,,,,,,
 lkh 168,20 52 06,+44 17 16,F6III,15.78,3.6217605633800,14.73,3.078169014080,13.48,2.3250000000000,12.27,1.7421126760600,,1.1133802816900,10.265,0.6549295774650,9.229,0.40867605633800,8.338,000,0.25018309859200,6.904,0.12269014084500,6.221,0.07582201584510,1.021000,3,3.733,0.06337753521130,1.307000,3,1.726,0h00 ,0.041360374647900,,,,,,,,,,,,,,,,,,,,
 lkh 169,20 52 07,+44 03 44,B3V(e),,4.7807248647200,11.1,4.063183881410,10.3,3.0690005912800,,2.2995891754400,,1.4696622549800,8.901,0.8645072088110,8.698,0.53945249829800,8.623,000,0.33024175376600,8.549,0.16195101711700,8.545,0.10008508019800,      null|, null,7.871,0.08365836259660,      null|,null,4.393,0h00 ,0.054595705053700,,,,,,,,,,,,,,,,,,,,
 lkh 176,20 52 58,+44 15 03,B5ne,,4.4040577503000,12.872,3.743050890860,12.1,2.8271980133100,14.4,2.1184075254600,10.992,1.3538694711600,10.216,0.7963938065650,9.942,0.49694973529700,9.664,000,0.30422243410800,9.129,0.14919110643000,8.746,0.09219950647830,      null|, null,7.643,0.07706702866130,      null|,null,6.773,0h00 ,0.050294180229700,,,,,,,,,,,,,,,,,,,,
 lkh 183,20 55 10,+45 03 02,B1:Ve,,2.3662146908600,12,2.011068543770,11.77,1.5189985809300,14.4,1.1381792183900,,0.7274077711510,10.303,0.4278869242060,9.989,0.26700144070500,9.711,000,0.16345280504700,9.298,0.08015748380120,8.982,0.04953700407400,      null|, null,8.028,0.04140661765550,      null|,null,6.159,0000,0.027022086192300,,,,,,,,,,,,,,,,,,,,
 lkh 192,20 59 17,+44 17 46,B0e,,8.2141529577500,15.617,6.981287323940,14.216,5.2731000000000,16.5,3.9511115493000,12.176,2.5251464788700,10.393,1.4853802816900,9.700,0.92687729577500,9.084,sss ,0.56741526760600,8.459,0.27826123943600,8.141,0.17196433193700,0.057210,3,7.372,0.14374024985900, ,0,5.908,0d00 ,0.093805329701400,,,,,,,,,,,,,,,,,,,,
 lkh 193,20 59 31,+44 35 44,Be,,4.1529534021600,14.5,3.529634898760,13.78,2.6660008277900,19,1.9976231554700,,1.2766764527400,11.971,0.7509861486730,11.648,0.46861535677200,11.420,000,0.28687670879300,11.034,0.14068473851800,10.777,0.08694260516460,      null|, null,10.446,0.07267292960710,      null|,null,8.825,0o00 ,0.047426577655500,,,,,,,,,,,,,,,,,,,,
 lkh 194,21 01 40,+44 19 44,B3e,,3.9597915493000,14,3.365464788730,13.37,2.5420000000000,15.8,1.9047098591500,,1.2172957746500,12.010,0.7160563380280,11.716,0.44681915493000,11.402,000,0.27353352112700,10.753,0.13414122065700,10.432,0.08289873732390,      null|, null,9.499,0.06929277183100,      null|,null,8.646,dd00 ,0.045220676281700,,,,,,,,,,,,,,,,,,,,
 lkh 198,00 11 25,+58 49 28,B9e,15.54,4.9255943662000,15.14,4.186309859150,14.18,3.1620000000000,12.94,2.3692732394400,11.79,1.5141971831000,9.988,0.8907042253520,7.889,0.55799436620000,6.290,000,0.34024901408500,4.677,0.16685859154900,3.304,0.10311794154900,9.475000,3,0.627,0.08619344788730,29.860001,3,-2.249,HHHH ,0.056250109521100,101,140,207,0.22,,,0.4E,,0.024,,,,,,,,,,,
 lkh 201,00 43 25,+61 38 23,B2e,15.01,6.9054901408500,14.85,5.869042253520,13.64,4.4330000000000,12.39,3.3216281690100,,2.1228450704200,10.716,1.2487323943700,10.285,0.77920901408500,9.849,000,0.47701577464800,9.317,0.23392920187800,8.934,0.14456731021100,      null|, null,8.083,0.12083983380300,      null|,null,7.352,0000,0.078860447662000,,,,,,,,,,,,,,,,,,,,
 lkh 208,06 07 49,+18 39 26,A7,12.38,1.1106732394400,12.07,0.943971830986,11.65,0.7130000000000,11.19,0.5342478873240,9.58,0.3414366197180,10.254,0.2008450704230,9.834,0.12532732394400,9.245,000,0.07672281690140,7.915,0.03762497652580,6.571,0.02325208485920,3.093000,3,2.524,0.01943577746480, ,0,0.766,0000,0.012683848225400,4.5,5.9,26.2,,,,,,,,,,,,,,,,,
 lkh 215,06 32 41,+10 09 33,B6e,11.11,3.1388591549300,11.06,2.667746478870,10.54,2.0150000000000,9.86,1.5098309859200,9.27,0.9649295774650,8.598,0.5676056338030,7.821,0.35418591549300,7.034,000,0.21682535211300,5.426,0.10633145539900,4.727,0.06571241373240,17.940001,3,2.966,0.05492719718310,13.670000,3,0.657,HHHH ,0.035845658028200,8.2,86.9,315,,,,,,,,,,,,,,,,,
 lkh 218,07 02 42,-11 26 11,A0e,12.55,2.0281859154900,12.29,1.723774647890,11.87,1.3020000000000,11.38,0.9755830985920,11.09,0.6234929577460,10.255,0.3667605633800,9.419,0.22885859154900,8.577,000,0.14010253521100,7.297,0.06870647887310,6.39,0.04246032887320,0.882700,3,3.905,0.03549141971830,0.921500,3,2.22,0h00 ,0.023161809802800,,,,,,,,,,,,,,,,,,,,
 lkh 220,07 04 06,-11 26 08,B8e,12,1.7867352112700,12.09,1.518563380280,11.81,1.1470000000000,11.41,0.8594422535210,10.91,0.5492676056340,10.763,0.3230985915490,10.022,0.20161352112700,9.116,000,0.12342366197200,7.884,0.06052713615010,7.08,0.03740552781690,0.888500,3,3.907,0.03126625070420,1.107000,3,2.054,0hhh ,0.020404451493000,,,,,,,,,,,,,,,,,,,,
 lkh 257,21 54 18,+47 12 09,B5/A2e,,4.1046621560400,13.87,3.488591705860,13.16,2.6350001182600,13.8,1.9743944548100,,1.2618310425400,11.278,0.7422535544380,10.494,0.46316621796900,9.725,000,0.28354085779500,8.867,0.13904883253100,8.345,0.08593162181430,0.090020,3,6.329,0.07182787646300,0.317800,3,3.065,HHd0 ,0.046875093371300,,,,,,,,,,,,,,,,,,,,
 lkh 259,23 58 41,+66 26 12,A9e,16.75,6.0845577464800,16.55,5.171323943660,15.02,3.9060000000000,13.34,2.9267492957700,,1.8704788732400,10.692,1.1002816901400,9.889,0.68657577464800,9.265,000,0.42030760563400,7.990,0.20611943661900,7.066,0.12738098662000,9.892000,3,3.197,0.10647425915500,10.260000,3,0.227,0hhh ,0.069485429408500,,,,,,,,,,,,,,,,,,,,
 lkh 324,21 03 54,+50 15 09,B8,14.4,5.8431070422500,13.77,4.966112676060,12.65,3.7510000000000,11.57,2.8106084507000,10.76,1.7962535211300,10.020,1.0566197183100,9.815,0.65933070422500,9.574,00c ,0.40362873239400,8.743,0.19794009389600,8.177,0.12232618556300,7.476000,3,4.177,0.10224909014100, ,0,1.968,hhdd ,0.066728071098600,,,,,,,,,,,,,,,,,,,,
 lkh 339,06 10 57,-06 14 39,A1e,14.75,4.0563718309900,14.53,3.447549295770,13.66,2.6040000000000,12.77,1.9511661971800,12.11,1.2469859154900,11.386,0.7335211267610,10.640,0.45777171830990,9.725,000,0.28020507042300,8.171,0.13741295774600,7.256,0.08492065774650,1.415000,3,3.712,0.07098283943660,2.047000,3,1.58,hhhd ,0.046323619605600,,,,,,,,,,,,,,,,,,,,
 lkh 341,06 30 50,+10 33 09,F3e,14.28,2.8491183098600,14.35,2.421492957750,13.39,1.8290000000000,12.43,1.3704619718300,,0.8758591549300,9.374,0.5152112676060,8.439,0.32149183098600,8.071,000,0.19681070422500,7.780,0.09651624413130,7.624,0.05964665246480,      null|, null,7.34,0.04985699436620,      null|,null,6.926,0000,0.032536828056300,,,,,,,,,,,,,,,,,,,,
 lkh 350,22 49 07,+62 11 08,B8e,16.42,9.7546084507000,15.97,8.290535211270,14.04,6.2620000000000,12.19,4.6920901408500,,2.9987042253500,9.578,1.7639436619700,8.869,1.10070084507000,8.316,000,0.67382647887300,7.777,0.33044544600900,7.432,0.20421396267600,0.123500,3,6.748,0.17069682816900, ,0,6.391,hh00 ,0.111397275718000,,,,,,,,,,,,,,,,,,,,
 HBC 1,00 07 02,+65 38 38,F4?,17.34,0.5794816901410,17.27,0.492507042254,16.76,0.3720000000000,16.57,0.2787380281690,,0.1781408450700,10.907,0.1047887323940,8.902,0.06538816901410,7.263,000,0.04002929577460,5.507,0.01963042253520,4.306,0.01213152253520,3.402000,3,1.985,0.01014040563380,7.517000,3,-0.225,hh0h ,0.006617659943660,,,,,,,,,,,,,,,,,,,,
 mwc 137,06 18 45,+15 16 52,B0e,12.75,7.7747126760600,13.31,6.607802816900,12,4.9910000000000,10.2,3.7397352112700,9.21,2.3900563380300,8.762,1.4059154929600,7.840,0.87729126760600,6.623,000,0.53705971831000,4.737,0.26337483568000,3.655,0.16276459401400, ,0,1.839,0.13605044225400,20.400000,3,-0.385,hhhd ,0.088786937577500,25.7,245,519,,,,0.19,,0.0057,,,,,,,,,,,
 mwc 297,18 27 39,-03 49 52,B1:Ve,15.57,11.0584409640000,14.34,9.398674960390,12.31,7.0989991722100,11.34,5.3192500839700,,3.3995207303500,6.127,1.9997180766800,4.387,1.24782407985000,3.041,0d0 ,0.76389230529100,-1.163,0.37461385303100,-1.865,0.23150986138500, ,0,-2.022,0.19351271828000,218.300003,3,-4.721,HHHH ,0.126286995866000,224,914,2200,1.45,0.57,,0.11,,,,,,,,,,,,,
 mwc 342,20 23 03,+39 29 50,B[e],11.62,5.0221728057600,11.5,4.268392800560,10.6,3.2239988174400,,2.4157286913800,,1.5438867576500,6.979,0.9081686809700,5.800,0.56669725692500,4.679,000,0.34692043613100,2.100,0.17013026623500,0.246,0.10513982340700,46.570000,3,-0.241,0.08788348325750,44.919998,3,-1.817,HHHH ,0.057353031808100,,,,,,,,,,,,,,,,,,,,
 mwc 930,18 26 25,-07 13 17,B5/9e,,14.0379439437000,14.28,11.930983098600,11.513,9.0117000000000,10.6,6.7524287323900,,4.3154619718300,6.652,2.5385070422500,5.810,1.58402839437000,5.262,000,0.96970969014100,3.908,0.47554698591500,3.267,0.29388613341500,3.251000,3,3.014,0.24565132647900, ,0,2.012,0000,0.160312812135000,,,,,,,,,,,,,,,,,,,,
